proba_0	proba_1
0.40137642983192134	0.5986235701680787
0.3918612182000064	0.6081387817999936
0.34608521236036405	0.653914787639636
0.7257451036722213	0.2742548963277787
0.10349600492290156	0.8965039950770984
0.38504354263692886	0.6149564573630711
0.5722330700294966	0.4277669299705033
0.7676605645356956	0.23233943546430436
0.8195513341475341	0.1804486658524659
0.6040311521226982	0.39596884787730185
0.4555714666614591	0.5444285333385409
0.4582815492477297	0.5417184507522703
0.011121305156356454	0.9888786948436435
0.07534729350640634	0.9246527064935937
0.9764737967458507	0.023526203254149378
0.4926520243713952	0.5073479756286048
0.5586295805580906	0.44137041944190936
0.39538350420787527	0.6046164957921247
0.11288541203282065	0.8871145879671793
0.8855107479278918	0.11448925207210828
0.09170608840759031	0.9082939115924097
0.9242690011369991	0.07573099886300094
0.6998853596286995	0.30011464037130053
0.06733354281466952	0.9326664571853305
0.24487460884175838	0.7551253911582416
0.8184812314265284	0.1815187685734716
0.1396193734431047	0.8603806265568953
0.9940035732662553	0.00599642673374463
0.8726577352422379	0.12734226475776209
0.7482193797215649	0.25178062027843506
0.5643998287091758	0.4356001712908241
0.050588404035894596	0.9494115959641054
0.011199285210320764	0.9888007147896792
0.6109192747772327	0.3890807252227673
0.3144796311550897	0.6855203688449103
0.07070440425833768	0.9292955957416623
0.05639854149490331	0.9436014585050967
0.8747855285324098	0.12521447146759024
0.5148819181058167	0.48511808189418326
0.93588601895638	0.06411398104362002
0.8900501175384683	0.10994988246153167
0.059043470000910814	0.9409565299990892
0.7892013095893432	0.21079869041065677
0.6490864286416617	0.35091357135833834
0.12738945219129993	0.8726105478087001
0.0163020885968721	0.9836979114031279
0.6870879913193755	0.3129120086806246
0.6104816926858041	0.38951830731419596
0.7844441143773682	0.2155558856226319
0.7204336437513312	0.2795663562486687
0.013899543662746705	0.9861004563372533
0.5049850561173117	0.4950149438826883
0.7455028966935295	0.25449710330647046
0.43582870857139877	0.5641712914286012
0.65468800972505	0.34531199027495
0.05462678800873588	0.9453732119912641
0.8463094626855721	0.153690537314428
0.16860867745355979	0.8313913225464402
0.8039168671944341	0.1960831328055659
0.5309906581846733	0.4690093418153267
0.8342706752172263	0.1657293247827737
0.8775510380488187	0.12244896195118131
0.07832927413068158	0.9216707258693184
0.9077376717179861	0.09226232828201385
0.16910497769857846	0.8308950223014215
0.6222318681575114	0.37776813184248864
0.7245665748249901	0.27543342517500996
0.8093755829232215	0.1906244170767785
0.14502134836506897	0.854978651634931
0.8028268455453104	0.19717315445468964
0.5981084205061338	0.40189157949386617
0.44144555403162333	0.5585544459683767
0.7957381150607132	0.2042618849392868
0.23309902587021314	0.7669009741297869
0.8567575178861004	0.1432424821138996
0.04674553835991191	0.9532544616400881
0.04356412500438822	0.9564358749956118
